영화댓글
"하.. 연출 너무 좋았고 작화도 너무 좋았고.. 막막 그래요... 너무 재밌었습니다.... 특히 eve dst가 증맬 환상,,,,"
"이 영화를 보고 나면 인스타갬성, 홍대예술충들이 왜 이 영화에 환장하는지 알게 됨."
진짜 현대 사회의 문제점 비판과 함께 많은 느낀점을 주는 갓 영화입니다
잘살아라
"""왜 조제여야만 했나""라는 의문이 계속 드는 영화.영화도, 소설도 반영 못한 별개의 작품.조제라고 생각 안하고보면 꽤 재밌다."
일본영화 자연스럽게 빠져 끝까지 보기는 오랜만
야야 그만하고 공식 VOD 팔아라.... 이거 볼려고 홍대가는건 힘듭니다... 수원에서 홍대까지 자차로 2시간 넘게 가서 보고 오는게 쉬운줄아시나요....??? 대중교통은 연착 당하면 배로 걸림.... 그만 홍대 메가박스에서 열고 VOD 내놓으세요....1440p로...
약 20년 전 나온 실사 영화보다 좀 더 따뜻하고 뭉실뭉실하다. 뻔한 스토리지만 내가 원하는 스토리.
"흠잡을곳 없던 작화와 연기, 그리고 스토리까저 더해져 흠잡을 곳은 없던 영화였다.인물의 감정이 쉽게 이해되었다.원작의 팬이라면 당연히 추천하고 싶다.처음보는 사람에게도 좋은 작품이 될거라고 생각한다.원작과는 또다른 매력을 느낄 수 있다."
"아이들과 같이 봤는데, 청소년에게 좋은 감정을 갖게 할 듯"
안보면 진짜 후회합니다
마음이 따뜻해지는 영화였습니다. 오랜만에 힐링했네요
기다렸던 시간들이 아깝지않았었다.너무 아름다웠었다. 주변극장들은 상영조기에 내려서 두번은못봤지만 DVD나오면 꼭사야지..
눈물이왈칵내가 이렇게 감성적인 사람이었다니
"Eve님의 ost로 인해서 이 영화를 알게 되어서 보러가게 되었는데 보는 내내 영상미와 따뜻한 내용, ost로 제 마음을 울렸습니다. 특히나 조제가 자신이 만든 그림책을 도서관에서 모두에게 읽어줄 때 정말 울컥했습니다…ㅠㅠ 이거 보고 집에가서 예전에 먼저 나온 영화가 있대서 바로 봤습니다ㅎㅎ 볼려고 고민하시는 분들 있으면 정말 강추합니다!"
너무좋았습니다. 강추합니다
"장점 - 깔끔하다.단점 - 뻔하다. 역동적인 움직임의 작화는 역시 본즈에서 만들었다는 생각을 하게 한다. 케릭터도 잘 뽑혔고, 스토리도 기승전결을 잘 풀어내었다. 하지만 이야기의 템포가 큰 감동을 받기에는 조금 빠르다. 일상을 빠르게 넘기고 중요한 사건의 포인트를 두어 깔끔한 이야기가 나왔지만, 인물에 감정에 몰입하게 될만한 시간과 요소를 배제한 것만 같았다. 그래도 각 인물의 시점과 생각을 어느정도 잘 풀어내어 좋았다. 예상외로 연출이 비교적 좋았다. 인물의 생각과 사건의 흘러가는 방향을 잘 보여주었지만 아무런 반전없는 이야기에 좋은 설명이 더해져초반 30분을 보면, 애니나 드라마를 좀 본 사람들은 중반 사건과 결말을 금방 추측할 수 있다. 요컨데 너무 뻔하게 흘러가서 아쉬웠다. S급이라 하기에는 조금 부족하지만 A급 킬링타임용으로 보기 좋은 영화이다. + 마지막 엔딩이 쿠키영상과 후일담 그 자체임으로 끝까지 보고 갈것"
띵작입니다 감동적이에요
OST 떡칠 없고 감동 있고 재미있었던 진짜 좋은 애니메이션.
