국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
버뮤다????,4982,1612,1,52,3318,1,66.6,79996,62278
그레나다????,4829,2034,N/A,116,2679,2.4,55.5,42916,112523
신트마르턴????,4213,166,10,63,3984,1.5,94.6,98260,42876
뉴질랜드????,4183,225,5,27,3931,0.6,94,867,4822233
코모로????,4112,12,N/A,147,3953,3.6,96.1,4729,869601
세인트마틴 섬????,3727,2273,7,55,1399,1.5,37.5,96390,38666
리히텐슈타인????,3439,43,1,60,3336,1.7,97,90196,38128
상투메 프린시페????,3338,614,N/A,49,2675,1.5,80.1,15231,219159
모나코????,3303,29,6,33,3241,1,98.1,84170,39242
세인트빈센트 그레나딘????,3247,860,2,17,2370,0.5,73,29268,110940
도미니카 연방????,3197,545,N/A,13,2639,0.4,82.5,44411,71986
앤티가 바부다????,2902,984,9,64,1854,2.2,63.9,29634,97929
터크스 케이커스 제도????,2830,60,1,22,2748,0.8,97.1,73095,38717
영국령 버진아일랜드????,2642,50,7,37,2555,1.4,96.7,87394,30231
부탄????,2599,3,N/A,3,2593,0.1,99.8,3368,771608
카리브 네덜란드????,2010,74,N/A,18,1918,0.9,95.4,76650,26223
세인트키츠 네비스????,1800,820,1,10,970,0.6,53.9,33835,53199
생바르텔레미????,1565,1100,N/A,3,462,0.2,29.5,158449,9877
탄자니아????,1367,1134,7,50,183,3.7,13.4,23,59734218
페로 제도????,1115,69,1,2,1044,0.2,93.6,22819,48863
케이맨 제도????,795,46,N/A,2,747,0.3,94,12096,65722
그린란드????,553,155,2,0,398,-,72,9741,56770
왈리스 퓌티나????,445,0,N/A,7,438,1.6,98.4,-,-
앵귈라????,364,18,N/A,1,345,0.3,94.8,24262,15003
포클랜드 제도????,67,4,N/A,0,63,-,94,19253,3480
마카오????,66,3,N/A,0,63,-,95.5,102,649335
몬트세랫????,33,2,N/A,1,30,3,90.9,6611,4992
생피에르 미클롱????,31,0,N/A,0,31,-,100,5350,5794
바티칸 시국????,27,0,N/A,0,27,-,100,33708,801
솔로몬 제도????,20,0,N/A,0,20,-,100,29,686884
서사하라????,10,1,N/A,1,8,10,80,17,597339
잔담??,9,0,N/A,2,7,22.2,77.8,-,-
팔라우????,5,0,N/A,0,5,-,100,276,18094
마셜 제도????,4,0,N/A,0,4,-,100,68,59190
바누아투????,4,0,N/A,1,3,25,75,13,307145
사모아????,3,0,N/A,0,3,-,100,15,198414
세인트헬레나????,2,0,N/A,0,2,-,100,329,6077
미크로네시아????,1,0,N/A,0,1,-,100,9,115023
