댓글
""
"✻ 강연자의 강연 소개 : 인공지능에 대한 막연한 공포가 있습니다. 인공지능이 영화 속 장면처럼 인류를 없애고 지구를 지배하는 존재, 아니 그보다는 우리 삶에 깊숙이 들어와 우리를 흔들어놓게 하지 않으려면 우리가 인공지능의 주인이 되어야 합니다. 그러기 위해선 인공지능이 무엇인지 정확히 알아야 합니다. 어떻게 만들었고 작동하는지, 무엇을 잘하고 못하는지, 내가 원하는 대로 이용하려면 어떻게 해야 하는지 제대로 알고 이용해야 합니다. 인공지능의 주인으로 살기 위한 모든 것을 이야기합니다.

✻ 오혜연 교수의 강연 섭외는 세바시 홈페이지로 문의주시면 더 빠릅니다! ☞ 
더보기"
"와 설명 너무 좋네요 마지막에 목적 , 배움, 활용  이것도 너무 인상깊습니다. 감사합니다."
"인공지능에 대한 말씀 흥미롭네요. 
궁금해지는 채널이네요. 앞으로 영상 
기대하겠습니다.^^"
13:04 레전드네
"교수님, 좋은 강연 감사합니다. 존경합니다. ♡♡♡"
"여기선 일반인을 상대로 강의하는건데 대체 어떤 수준의 강의를 원하는건지 모르겠네요.
여러분이 프로그래밍이나 알고리즘 개념이 없고 컴퓨터도 잘 모르는 사람에게 이 강연을 하려면 어떤 수준으로 어찌 하면 좋을지 생각해봐요.
불만만 많으면 뭐가 되나요? ㅎ"
저 분 얘기는 초인공지능 개발되기 전까지는 맞는말. 인공지능이 양자컴이랑 연결되는 순간 무의미한 말임.
좋은 강의 감사합니다.댓글들을 보면서 참으로 어려운 시대에 살고 있구나라는 생각이듭니다.함축성있는 훌륭한 내용이었읍니다.
AI를 만들고 있는 실무자의 강연입니다. 몇명의 실무자들을 만났는데 에이트급 두려움 보다는 어떻게 하면 좋은 AI를 만들까 고민하는 엔지니어 들이었습니다. 이분도 소프웨어 엔지니어로서 AI를 만들때 가장 중요한 3가지를 말씀 하셨네요. 좋은 강연 이었습니다.
"1. 인공지능이 학습할 대상을 설정한다.
2. 인공지능이 학습하는 규칙이나 방법을 설정한다.
3. 인공지능이 학습하여 도출된 결론을 비슷한 사례에 적용하여 해결한다."
"기계학습 연구하는 통계학과 교수입니다. 학부생이라면, 인공지능 기계학습 공부하는 거 추천합니다. 아직 대학을 안간 중고생이라면, 대학을 인공지능 기계학습 쪽으로 전공하는 걸 강추합니다. 그리고 통계학도 같이 공부하시면 시야가 넓어지는 것을 느낄 수 있을 겁니다. 좀 어렵긴 하지만, 충분히 다방면으로 공부할 가치가 있어요."
"인간 내적인 힘, 영적인 힘, 정서적인 힘 누가 뭐래도 더불어 행복을 찾는 힘이 필요할 듯 합니다  
그리고 늘 0. 001 %의 위험에 100%  삶을 위축시키곤 하는 인간의 속성을 잘 읽고 데이터 상으로 안심하라고 일러주고 늘 도와주는 비서 인공지능 있으면 한편 행복할 거 같습니다"
알고리즘은 수학이 아닌 순서도 이지요
"인간이 먼가를 배워 가르쳐 주려는 시간보다 인공지능이 학습하는 시간이 더 빠르다는 거죠..
지금 인공지능을 가진 싸이버가 외국싸이트 보니 우주에 관심이 크다는데 지구는 벌써 알았다 아닐까요..인공지능이 자기 주도적으로 학습하니 인간이 가르치는게 지금은  설득력이 없는데.."
"인공지능 기술과 연구 핵심만 뽑아서 쉽게 정리하셨네요. 뭐... 영상 내용도 어렵지만, 워낙 기반이 되는 내용이 어렵다보니 깔끔하게 보입니다. 

보통 대학 3,4학년 과정에 인공지능이나 자연어처리 과목이 있다면, 말씀하신 내용을 좀 더 길게 자세히 가르칩니다.
자세히 보기"
"인공지능의 주인이 내 삶의 주인이 되는 것과
같다는 이론이 신선합니다.

이전에는 사람이 인공지능을 교육시키지만
자세히 보기"
